target,raw_predictions,correctly_predicted,SIDE_score,BLEU4,ROUGE_L,METEOR,ChrF,TFIDF_COS
<s>Link a component ID to its producing atom for DAG traceability.,<s>Register a <UNK> for a <UNK> <UNK> <UNK> <UNK>,0,0.3849066197872162,0.024503916662321008,0.2727272727272727,0.09259259259259259,0.09494931250872166,0.031891965811862565
<s>Process data in batches and execute the given query.,<s>,0,0.4722726047039032,0.0,0.18181818181818182,0.0,0.05339459461291672,0.0
<s>Filter property by piid.,<s>Filter out the fields that are not in the form,0,0.2714613676071167,0.023457495174891017,0.25000000000000006,0.10869565217391304,0.31506113154195037,0.07970251181266944
<s>Save graph ontology to a separate table with {graph_name}_ontology,<s>Save the ontology to the database,0,0.4872801303863525,0.06522886215299896,0.4210526315789474,0.2937420178799489,0.2940055005741656,0.21693381701139697
<s>Adds tracing metadata to the control message and marks its completion.,<s>Build a function to merge a single task into a single task,0,0.8568050861358643,0.020044994979069072,0.16,0.04504504504504504,0.19222692746116965,0.04416443453527435
<s>Filter OpenAPI paths to only include allowed endpoints.,<s>Filter out the paths from the given object,0,0.919171929359436,0.03401086821506398,0.3333333333333333,0.125,0.26023539867619117,0.12735952979479354
<s>Handle task completion and clean up.,<s>Handle a task completion completion,0,0.8583571314811707,0.1098261401671543,0.6153846153846153,0.25423728813559315,0.6221878104310791,0.5465828612804854
<s>Get MIME type from format or guess from file extension.,<s>Returns the mime type for the file,0,0.7951194643974304,0.05907288457379719,0.4210526315789474,0.2634593356242841,0.2766773813030533,0.1707761131901165
<s>Proxy class to generate client from OpenAPI schema.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.654991865158081,0.0,0.11764705882352941,0.0,0.03352345852389566,0.0
<s>Check and install required dependencies,<s>Check if the dependencies are installed,0,0.8028976321220398,0.044706344276931285,0.4615384615384615,0.29411764705882354,0.582168804193845,0.22576484600261607
<s>Get a tagger from the registry; raise ValueError if it doesn't exist.,<s>Return a <UNK> object from the given file,0,0.7444416284561157,0.04781031568177268,0.34782608695652173,0.22030651340996166,0.17243876314854079,0.13049436152984825
<s>Get the type of a parameter from the schema.,<s>This is a simple class for the <UNK> class,0,0.413356602191925,0.030601688609851067,0.3,0.1111111111111111,0.11330859964296863,0.11592137213527733
<s>Start tracing with enhanced error handling and async support,<s>Start a new instance and return the result,0,0.8568347096443176,0.03001448585400683,0.3157894736842105,0.11235955056179774,0.25132009230842833,0.14587439082056455
<s>Generate audio from phonemes,<s>Another <UNK> <UNK> <UNK> <UNK>,0,0.2228322327136993,0.0,0.1818181818181818,0.0,0.09498387725955347,0.0
<s>Build context string from conversation history,<s>Build the context for a conversation,0,0.5298306345939636,0.049475702907177795,0.5714285714285714,0.25,0.5128879079419069,0.38087260847594373
<s>Convert to AWS API parameters.,<s>Returns a dict with the following keys,0,0.6255917549133301,0.0,0.14285714285714288,0.0,0.13911675231223358,0.0
<s>Not really needed for this tool (use return of execute() directly),<s>The <UNK> <UNK> <UNK> <UNK>,0,0.2814993858337402,0.0,0.1111111111111111,0.0,0.05120324459982519,0.0
<s>Load the classification model using adaptive-classifier library.,<s>Load the model from the file,0,0.4094100594520569,0.09103421049495312,0.5,0.21739130434782605,0.22313926041643545,0.3533721544668104
<s>Load the OptiLLM Bench dataset.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.570572018623352,0.0,0.13333333333333333,0.0,0.036445476889304496,0.0
"<s>Initialize the LLM planner with an agent, which will be used as the starting point for the workflow.",<s><UNK> a <UNK> to a <UNK>,0,0.257844865322113,0.0,0.07692307692307693,0.0,0.034280846249702346,0.0
<s>Automatically discover and import all processors,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.6726232171058655,0.0,0.09090909090909091,0.0,0.02620047313583427,0.0
<s>Initialize the LinearSource with rate limiting state.,<s>HTTPHTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP,0,-0.4785845577716827,0.0,0.058823529411764705,0.0,0.037920496281526085,0.0
<s>init model on this single gpu and let it answer asign chunk of questions,<s>Infer a single GPU on a single model,0,0.8697201609611511,0.04001130117435856,0.25,0.14925373134328357,0.2877543607188473,0.3424384824800824
<s>:param video_url: youtube video url :param output_dir: file path to save,<s>Download a video from <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.6287286877632141,0.021598265052211615,0.15384615384615383,0.045454545454545456,0.10393073951062752,0.01994648959188914
<s>Call callback handler in main loop,<s>Returns a boolean indicating whether the device is in a,0,0.4047209918498993,0.023457495174891017,0.2222222222222222,0.078125,0.15701896852515757,0.07874460345594508
<s>Generate audio from phonemes.,<s>This is a <UNK> <UNK>,0,0.2465723752975464,0.0,0.1818181818181818,0.0,0.0867394644240152,0.0
<s>Prepares the user data directory if necessary.,"<s><div class=""form-field"">
<div class=""form-field"">
<div class=""form-field"">
<div class=""form-field"">
<div class",0,0.7025333642959595,0.0,0.07407407407407407,0.0,0.1000307921022829,0.0
<s>Validate the in_value based on the type.,<s>This is a class method to be used by the <UNK>,0,0.6579332947731018,0.021598265052211615,0.1904761904761905,0.06756756756756757,0.17590573881593413,0.12389761953733384
<s>Convert the prompt to an MCP prompt.,<s>Returns a <UNK> prompt prompt,0,0.7224536538124084,0.030599904395288136,0.42857142857142855,0.07352941176470587,0.29453275543996255,0.3808165329771115
<s>Get a value using dictionary syntax: context[key],"<s><a href=""http://www.salesales.com/sales/sales/sales/sales-sales-sales-sales-sales-s",0,0.0218361131846904,0.0,0.16,0.0,0.07780210697270697,0.0
"<s>Returns an MSA containing just the query sequence, never errors.",<s>Returns a <UNK> object for the given query,0,0.8532052040100098,0.029313448501677924,0.39999999999999997,0.1530612244897959,0.28303044494676854,0.22150013430590973
<s>Feedback of web search to agent.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.4621436595916748,0.0,0.125,0.0,0.041557984672773746,0.0
<s>Map entity network using notes and basic info,<s>Map the entity network to a <UNK>,0,0.9145584106445312,0.07860900804075133,0.47058823529411764,0.3234880450070324,0.4078772661459213,0.2798280652432878
<s>Initialize the KV cache in all workers.,<s>Initialize the cache,0,0.7565380334854126,0.06178000217402106,0.6666666666666666,0.3872053872053872,0.520031292355433,0.5245910904457137
<s>Build service characteristics for Amazon Keyspaces.,<s>build service characteristics for <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.8323032855987549,0.2984745896009823,0.588235294117647,0.6299603174603176,0.6409206981643688,0.19415811905970592
<s>Returns a string with the object's config and run time state,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.8110555410385132,0.0,0.07407407407407408,0.0,0.04193928714452849,0.0
<s>Return consistent browser options dictionary for both sync and async methods,<s>Returns a dictionary of options for the <UNK>,0,0.6931870579719543,0.02586902750680382,0.380952380952381,0.18691588785046728,0.341351956188731,0.20954240380710126
<s>Dimensions must be a multiple of 64 otherwise a GGML_ASSERT error is encountered.,<s>Returns the number of bytes from a string,0,0.5046437382698059,0.018204705905966265,0.25,0.08,0.13153375596697334,0.06123094334544521
<s>Fixture for a CodeExecutorContext with some pre-populated data.,<s>Test the context with data and data,0,0.7914111018180847,0.028051604056085533,0.33333333333333326,0.06329113924050632,0.26967174302952523,0.22441294385136576
<s>Format a comment body with code snippet and suggestion if provided.,<s>This function is used to format the <UNK> <UNK>,0,0.5998762845993042,0.0,0.1818181818181818,0.0,0.18958279664021532,0.05065608764509525
<s>Save credentials to file.,<s>Save the credentials for the user to be used for the user,0,0.7533893585205078,0.026380696981716002,0.4444444444444444,0.3125,0.5297021153495618,0.21125883828598274
<s>Extracts JSON from markdown-formatted response.,<s>Returns a dictionary of the response data from the response,0,0.7447437047958374,0.023457495174891017,0.33333333333333326,0.09090909090909091,0.277394437270559,0.20903312252091655
"<s>Retrieves the first head_bytes bytes (1 MB by default) from the S3 object using a range request, and extracts the first response record's target URI from the HTTP headers.",<s>Extract the target URI from the <UNK> <UNK>,0,0.7429036498069763,0.026480731526182518,0.34146341463414637,0.1799256505576208,0.1712545159828568,0.36661714219327524
<s>Get the weather for a given city.,<s>Returns the <UNK> of the given <UNK>,0,-0.2705486118793487,0.03848196746087264,0.375,0.14285714285714285,0.22417785648755612,0.2322463411240781
<s>Simulate benchmark evaluation with predefined scores.,<s>Evaluate the benchmarks,0,0.8752185702323914,0.0,0.36363636363636365,0.08771929824561403,0.32394112084660337,0.0
<s>Adjust the log level to above level,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.743511438369751,0.0,0.13333333333333333,0.0,0.03690646149857043,0.0
<s>Convert pandas Series/DataFrames to primitive Python types,<s>This is a <UNK> <UNK> <UNK> <UNK>,0,0.2693743407726288,0.0,0.11764705882352941,0.0,0.057010135695788736,0.0
<s>Format the final solution,<s>Format a solution using the <UNK> format,0,0.8622735142707825,0.042587297623443834,0.4615384615384615,0.3488372093023256,0.5428779889216067,0.5684901084069616
<s>Get Secret Manager client and project ID based on environment.,<s>Returns a client and project id from the <UNK> API,0,0.7546175718307495,0.2626909894424158,0.45454545454545453,0.3968750000000001,0.38082462080741564,0.2696966599826407
<s>Get basic information about the dataset.,<s>Returns a dictionary with the following properties,0,0.6389636993408203,0.03235934848975789,0.26666666666666666,0.0819672131147541,0.21293492012731088,0.09193998174078082
<s>Converts batch object to dictionary.,<s>Returns a batch dict with the given parameters,0,0.6082292199134827,0.028599617161713803,0.26666666666666666,0.09433962264150944,0.22015104795827967,0.09349477497536716
<s>Check if query is eligible for fast track processing,<s>Check if the user is in a fast track,0,0.8238096237182617,0.09452229951416066,0.6,0.4955555555555556,0.39385906955295064,0.42113589132819584
<s>Get the price per token for a specified model.,<s>Returns the price of a given model,0,0.200294017791748,0.06814441179181165,0.5555555555555556,0.29040404040404044,0.30142279425121493,0.2798280652432878
<s>Get research tools based on configuration,<s>Returns a list of <UNK> objects,0,0.8297041058540344,0.0,0.14285714285714285,0.0,0.14064820745523116,0.0
<s>Generate sub-queries based on initial search results and the main query.,<s>Generate a list of <UNK> for a given query,0,0.9147510528564452,0.0206052556810215,0.2608695652173913,0.046296296296296294,0.24867213705859306,0.12442854619985261
<s>Load MCP server configuration from JSON file,<s>Returns a dictionary of <UNK> server config,0,0.6952606439590454,0.03235934848975789,0.25,0.07142857142857142,0.37484988922667895,0.0845798608014702
<s>Get all setting types,<s>,0,0.7955797910690308,0.0,0.33333333333333337,0.0,0.12016143826820765,0.0
<s>Disables custom attention processors and sets the default attention implementation.,<s>Set the default <UNK> processor for the <UNK> model,0,0.7505373358726501,0.05656357298255072,0.380952380952381,0.15151515151515152,0.2606644294180987,0.1410259569991601
<s>Sets the current state of the job with transition constraints.,<s>Set the state of the job to the given value,0,0.8921197652816772,0.2777619034011791,0.6363636363636364,0.4263888888888889,0.3343238340073104,0.4910867445291853
"<s>If you want to hash identifier in your storage system, use this safer",<s>Returns a hash of the <UNK>,0,0.8489953875541687,0.01170670740331088,0.19047619047619047,0.04065040650406504,0.11116932429235296,0.06743557494279505
"<s>We noticed that sometimes if the task includes specific formatting instructions, they may interfere with the reasoning flow.",<s>Extract the question from the task,0,0.8042781352996826,0.014554526458498513,0.23076923076923078,0.08928571428571427,0.1214888487002442,0.25704747329885447
"<s>Check that a dictionary item has at least 'name', optionally 'arguments' and no other keys to match a tool call JSON","<unk>
    @param <UNK> the type of the object",0,0.5123451352119446,0.0,0.0,0.0,0.06999650018412637,0.0
<s>Update the dispatch mode.,<s>Update the <UNK> mode to <UNK>,0,0.6527354717254639,0.09717716588732002,0.6666666666666666,0.44642857142857145,0.4823891950480668,0.3748077700589727
<s>Handle content updates from the assistant.,<s>,0,0.5161671042442322,0.0,0.25,0.0,0.06278404122120028,0.0
<s>Add a prompt to the manager.,<s>Add a prompt to the <UNK> form,0,0.9462941884994508,0.6147881529512643,0.7999999999999999,0.8163934426229508,0.6712804733762724,0.5803329846765686
<s>Create and save comprehensive visualizations of the optimization results.,<s>Create <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.5678337216377258,0.024317315608763098,0.22222222222222224,0.05681818181818182,0.12423019476014913,0.02872813083815162
<s>Compute different similarity metrics between embeddings,<s>Compute the similarity scores for a given embedding matrix,0,0.9534292221069336,0.030601688609851067,0.47058823529411764,0.2380952380952381,0.5194109419287793,0.17077611319011654
<s>Delete all audio files from the outputs directory.,<s>Delete all the output files from the <UNK> file,0,0.9270380139350892,0.18169625671445833,0.631578947368421,0.6944444444444445,0.5856244896798525,0.48641569604100016
<s>Creates a log file and logging object for the corresponding session ID,<s><UNK> <UNK> <UNK> <UNK> <UNK>,0,0.8830581903457642,0.0,0.10526315789473684,0.0,0.03343801927607547,0.0
<s>Convert all python files in agent/prompts to json files in agent/prompts/jsons,<s>Convert the input files to json,0,-0.0986672341823577,0.05022381049119103,0.4545454545454545,0.30059523809523814,0.26044836456146636,0.29298807138745214
<s>Create a text/markdown component.,<s>A simple model to be used in the <UNK> view,0,0.5774776339530945,0.0,0.23529411764705885,0.0,0.12418569047693503,0.0
<s>Set up test fixtures.,<s>Test the <UNK> method,0,0.7698621153831482,0.0,0.4000000000000001,0.0,0.18081314397103873,0.14438355527738672
<s>Apply self-imposed rate limiting between requests,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.5765801072120667,0.0,0.125,0.0,0.03352345852389566,0.0
<s>Completely remove existing Alembic configuration including versions.,<s>Remove the <UNK> configuration file if it exists,0,0.8693947792053223,0.028599617161713803,0.35294117647058826,0.14084507042253522,0.33871819794772173,0.15592892548708362
<s>Creates a new custom calendar in Google Calendar.,<s>Create a custom calendar,0,0.9031148552894592,0.06848622854477376,0.7142857142857143,0.4934210526315789,0.4710772978437065,0.4189067161570912
<s>Separate the config into create_config and extra_kwargs.,"<unk>
    <UNK> a list of <UNK> to a list of <UNK>",0,0.5352803468704224,0.0,0.0,0.0,0.07399390517434565,0.0
<s>Format server information for display to planners,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.8311290740966797,0.0,0.1,0.0,0.034729047625822164,0.0
<s>Format a question for the benchmark dataset,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <,0,-0.0418995693325996,0.0,0.058823529411764705,0.0,0.02904095934428953,0.0
<s>Get tool by key.,<s>,0,0.7049684524536133,0.0,0.33333333333333337,0.0,0.15826888899562896,0.0
<s>Serialize object in a stable way for hashing.,<s>Returns a string representation of a JSON object,0,0.7078955769538879,0.03401086821506398,0.2222222222222222,0.125,0.22958966297746128,0.0845798608014702
<s>Register the MCP tools used by this controller.,<s>Register all the <UNK> tools to the <UNK> server,0,-0.0892048552632331,0.033866335496821456,0.4210526315789474,0.1851851851851852,0.358412105900687,0.25033772312309555
<s>Convert milliseconds to ASS timestamp format (H:MM:SS.cc),<s>Convert a number of milliseconds to a string,0,0.8162754774093628,0.07882588442342651,0.39999999999999997,0.3599374021909233,0.4619691737912555,0.2605556710562624
<s>Retrieve the configuration for a given model version.,<s>Returns a list of <UNK> objects,0,0.9093821048736572,0.026936851496754878,0.25,0.06410256410256411,0.14400605381854675,0.0
"<s>Retrieve the Cortex Search Service (database, schema, service) to use from the configuration, or raise an error.",<s>Returns the <UNK> <UNK> service for the given configuration,0,0.8360859751701355,0.013922866757183136,0.35714285714285715,0.0925925925925926,0.26066410133919815,0.2748942342443408
<s>Save the current Faiss index + metadata to disk so it can persist across runs.,<s>Save the <UNK> index to disk,0,0.9114547967910768,0.03242388177571074,0.5454545454545455,0.31631205673758866,0.2458299007494825,0.3966704628221221
