target,raw_predictions,correctly_predicted,SIDE_score
<s>Link a component ID to its producing atom for DAG traceability.,<s>Register a <UNK> for a <UNK> <UNK> <UNK> <UNK>,0,0.3849066197872162
<s>Process data in batches and execute the given query.,<s>,0,0.4722726047039032
<s>Filter property by piid.,<s>Filter out the fields that are not in the form,0,0.2714613676071167
<s>Save graph ontology to a separate table with {graph_name}_ontology,<s>Save the ontology to the database,0,0.48728013038635254
<s>Adds tracing metadata to the control message and marks its completion.,<s>Build a function to merge a single task into a single task,0,0.8568050861358643
<s>Filter OpenAPI paths to only include allowed endpoints.,<s>Filter out the paths from the given object,0,0.919171929359436
<s>Handle task completion and clean up.,<s>Handle a task completion completion,0,0.8583571314811707
<s>Get MIME type from format or guess from file extension.,<s>Returns the mime type for the file,0,0.7951194643974304
<s>Proxy class to generate client from OpenAPI schema.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.654991865158081
<s>Check and install required dependencies,<s>Check if the dependencies are installed,0,0.8028976321220398
<s>Get a tagger from the registry; raise ValueError if it doesn't exist.,<s>Return a <UNK> object from the given file,0,0.7444416284561157
<s>Get the type of a parameter from the schema.,<s>This is a simple class for the <UNK> class,0,0.41335660219192505
<s>Start tracing with enhanced error handling and async support,<s>Start a new instance and return the result,0,0.8568347096443176
<s>Generate audio from phonemes,<s>Another <UNK> <UNK> <UNK> <UNK>,0,0.22283223271369934
<s>Build context string from conversation history,<s>Build the context for a conversation,0,0.5298306345939636
<s>Convert to AWS API parameters.,<s>Returns a dict with the following keys,0,0.6255917549133301
<s>Not really needed for this tool (use return of execute() directly),<s>The <UNK> <UNK> <UNK> <UNK>,0,0.28149938583374023
<s>Load the classification model using adaptive-classifier library.,<s>Load the model from the file,0,0.4094100594520569
<s>Load the OptiLLM Bench dataset.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.570572018623352
"<s>Initialize the LLM planner with an agent, which will be used as the starting point for the workflow.",<s><UNK> a <UNK> to a <UNK>,0,0.25784486532211304
<s>Automatically discover and import all processors,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.6726232171058655
<s>Initialize the LinearSource with rate limiting state.,<s>HTTPHTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP_HTTP,0,-0.47858455777168274
<s>init model on this single gpu and let it answer asign chunk of questions,<s>Infer a single GPU on a single model,0,0.8697201609611511
<s>:param video_url: youtube video url :param output_dir: file path to save,<s>Download a video from <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.6287286877632141
<s>Call callback handler in main loop,<s>Returns a boolean indicating whether the device is in a,0,0.4047209918498993
<s>Generate audio from phonemes.,<s>This is a <UNK> <UNK>,0,0.2465723752975464
<s>Prepares the user data directory if necessary.,"<s><div class=""form-field"">
<div class=""form-field"">
<div class=""form-field"">
<div class=""form-field"">
<div class",0,0.7025333642959595
<s>Validate the in_value based on the type.,<s>This is a class method to be used by the <UNK>,0,0.6579332947731018
<s>Convert the prompt to an MCP prompt.,<s>Returns a <UNK> prompt prompt,0,0.7224536538124084
<s>Get a value using dictionary syntax: context[key],"<s><a href=""http://www.salesales.com/sales/sales/sales/sales-sales-sales-sales-sales-s",0,0.021836113184690475
