Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,function_name,codeFunctions,originalComment,codeComment,human_conciseness,human_fluency,human_content_adequacy,BLEU_1,ROUGE_1_P,ROUGE_W_R,CodeT5_plus_CS,BERTScore_R,SentenceBERT_CS,InferSent_CS,SIDE_score,C_Coeff,SIDE_emb,model_content_adequacy,model_conciseness,model_fluency,LLM_JUDGE_score,LLM_JUDGE_reason,LLM_JUDGE_raw_output
0,0,0,1,register_component_producer,"def register_component_producer(self, component_id: str, atom_name: str):
        
        logger.info(f""[DAG] Registering component producer {component_id=} {atom_name=}"")
        if atom_name in self.atoms:
            self._component_producers[component_id] = atom_name
            if self._current_atom:
                logger.info(f""[DAG] Component registered while atom was active self._current_atom={self._current_atom}"")
        else:
            logger.warning(f""[DAG] Skipping producer registration for unknown atom {atom_name=}"")",Link a component ID to its producing atom for DAG traceability.,<s>Register a <UNK> for a <UNK> <UNK> <UNK> <UNK>,5.0,5.0,4.0,0.6623376623376623,0.3333333333333333,0.3636363636363636,0.6310045719146729,0.25225818,0.65132374,0.71601033,0.1557982861995697,0.5,0.7973032444927464,4.0,5.0,5.0,1,Parsed score from non-JSON model output.,"analysisWe need to evaluate the generated summary: ""Register a <UNK> for a <UNK> <UNK> <UNK> <UNK>"". This is obviously nonsense. The code registers a component producer: it logs info, checks if atom_name in self.atoms, then sets self._component_producers[component_id] = atom_name, logs if current atom active, else logs warning. The summary is basically gibberish. So score 1: incorrect or mostly unrelated. Provide reason: summary is meaningless.assistantfinal{""score"": 1, ""reason"": ""The summary is nonsensical"
1,1,1,2,process_in_batches,"def process_in_batches(tx, query, data, batch_size):
    
    for i in range(0, len(data), batch_size):
        batch = data[i : i + batch_size]
        tx.run(query, {""nodes"": batch} if ""nodes"" in query else {""edges"": batch})",Process data in batches and execute the given query.,<s>,5.0,5.0,4.0,0.7686315513218586,0.7142857142857143,0.2222222222222222,0.4729007482528686,0.4238502,0.7193144,0.8215326,0.1510529518127441,0.2857142857142857,0.5190874842878558,4.0,5.0,4.0,1,Parsed score from non-JSON model output.,"analysisWe need to evaluate the generated summary. But the user didn't provide the summary text. The prompt says: Generated summary: <s> . It seems incomplete. The summary is missing. The user says ""Generated summary: <s>"" maybe placeholder. So we cannot evaluate because no summary provided. According to instructions, we must judge the generated summary. But it's missing. So we should probably give a score of 1? Or maybe we should note that summary is missing. The rubric: 1: Incorrect or mostly unrelated. Since no summary, it's not correct. So score 1. Reason: ""No summary provided"
2,2,2,3,filter_property,"def filter_property(self, siid: int, piid: int) -> bool:
        
        if (self._cache and 'properties' in self._cache and
            (f'{siid}.{piid}' in self._cache['properties'] or
             f'{siid}.*' in self._cache['properties'])):
            return True
        return False",Filter property by piid.,<s>Filter out the fields that are not in the form,5.0,5.0,5.0,0.3181818181818182,0.0909090909090909,0.25,0.6381975412368774,0.014677439,0.39078256,0.46684375,0.3190942108631134,0.1818181818181818,0.4972126613698171,5.0,5.0,5.0,2,Parsed score from non-JSON model output.,"analysisWe need to evaluate the generated summary. The code defines a method filter_property that checks if self._cache exists and has 'properties' key, and if either f'{siid}.{piid}' or f'{siid}.*' is in that dict. If so returns True else False. The summary says: ""Filter out the fields that are not in the form"". That's vague and incomplete. It doesn't mention the cache or the specific keys. It's not accurate. So score 2? Let's see rubric: 1: incorrect or mostly unrelated. 2: mentions a small part but misses main behavior or includes"
3,3,3,4,_save_ontology_to_db,"def _save_ontology_to_db(self, ontology: ""Ontology"") -> None:  # type: ignore[no-any-unimported]
        
        if self.ontology_table_name in self.falkordb.list_graphs():
            raise ValueError(f""Knowledge graph {self.name} is already created."")
        graph = self.__get_ontology_storage_graph()
        ontology.save_to_graph(graph)",Save graph ontology to a separate table with {graph_name}_ontology,<s>Save the ontology to the database,4.0,5.0,3.0,0.7169694062511285,0.4,0.3636363636363636,0.6559760570526123,0.114257924,0.60543215,0.752154,0.6539198756217957,0.4,0.6083726831333309,4.0,5.0,4.0,5,Parsed score from non-JSON model output.,"analysisWe need to evaluate the generated summary: ""Save the ontology to the database"". The code: method _save_ontology_to_db(self, ontology). It checks if ontology_table_name in self.falkordb.list_graphs(): raise ValueError. Then graph = self.__get_ontology_storage_graph(); ontology.save_to_graph(graph). So it saves ontology to graph storage. The summary says ""Save the ontology to the database"". That is somewhat accurate: it saves ontology to database. But it omits the check for existing graph and raising error. But the summary is concise. The rubric: 5: accurate, faithful"
4,4,4,5,_build_merge_function,"def _build_merge_function(self):
        

        def merge_fn(ctrl_msg: IngestControlMessage):
            do_trace_tagging = ctrl_msg.get_metadata(""config::add_trace_tagging"") is True
            if do_trace_tagging:
                ts_exit = datetime.now()
                ctrl_msg.set_timestamp(f""trace::exit::{self._task_desc}"", ts_exit)
                ctrl_msg.set_timestamp(""latency::ts_send"", ts_exit)
            return ctrl_msg

        return merge_fn",Adds tracing metadata to the control message and marks its completion.,<s>Build a function to merge a single task into a single task,5.0,5.0,5.0,0.8289473684210527,0.4166666666666667,0.4545454545454545,0.5998378992080688,0.25483575,0.64156693,0.7810613,0.8489394783973694,0.1666666666666666,0.5122861707446339,5.0,5.0,5.0,1,Parsed score from non-JSON model output.,"analysisWe need to evaluate the generated summary. The code defines a method _build_merge_function that returns a function merge_fn. merge_fn takes ctrl_msg: IngestControlMessage, checks metadata ""config::add_trace_tagging"" is True, if so sets timestamps for trace exit and latency. Then returns ctrl_msg. The summary says: ""Build a function to merge a single task into a single task"". That is wrong. It doesn't mention timestamps or metadata. It's inaccurate. So score 1. Provide JSON.assistantfinal{""score"": 1, ""reason"": ""The summary is incorrect and unrelated"
5,5,5,6,filter_paths,"def filter_paths(openapi_schema: Dict[str, Any]) -> Dict[str, Any]:
    
    if ""paths"" not in openapi_schema:
        return openapi_schema

    filtered_paths = {}
    for path, path_item in openapi_schema[""paths""].items():
        include_path = False
        filtered_operations = {}

        for method, operation in path_item.items():
            if method.lower() in [""get"", ""post"", ""put"", ""delete"", ""patch""] and is_included_endpoint(
                path, method
            ):
                filtered_operations[method] = operation
                include_path = True

        if include_path:
            filtered_paths[path] = filtered_operations

    openapi_schema[""paths""] = filtered_paths
    return openapi_schema",Filter OpenAPI paths to only include allowed endpoints.,<s>Filter out the paths from the given object,5.0,5.0,4.0,0.7213114754098361,0.5555555555555556,0.625,0.5106111764907837,0.64834565,0.64581263,0.772147,0.8125587701797485,0.1111111111111111,0.547954485330062,4.0,5.0,4.0,2,Parsed score from non-JSON model output.,"analysisWe need to evaluate the generated summary. The summary says: ""Filter out the paths from the given object"". That is too generic. The code actually filters the paths to only include certain HTTP methods (get, post, put, delete, patch) and only those endpoints that satisfy is_included_endpoint(path, method). It returns the modified schema. The summary is incomplete: it doesn't mention the method filtering or the is_included_endpoint check. So it's not accurate. Score likely 2. Provide JSON.assistantfinal{""score"": 2, ""reason"": ""The summary only mentions filtering paths but"
6,6,6,7,_handle_task_completion,"def _handle_task_completion(self, task: asyncio.Task) -> None:
        
        task_id = getattr(task, ""task_id"", ""unknown"")
        self.pending_tasks.discard(task)

        if task.cancelled():
            logger.warning(f""🚫 WORKER_CANCELLED [{task_id}] Task was cancelled"")
        elif task.exception() is not None:
            logger.error(
                f""💥 WORKER_EXCEPTION [{task_id}] Task completed with exception: {task.exception()}""
            )
        else:
            logger.info(f""🏁 WORKER_CLEANUP [{task_id}] Task cleaned up successfully"")",Handle task completion and clean up.,<s>Handle a task completion completion,5.0,5.0,5.0,0.419753086419753,0.3,0.5,0.5721233487129211,0.6253988,0.7242328,0.6885105,0.8323314785957336,0.1,0.598506914267946,5.0,5.0,5.0,3,Parsed score from non-JSON model output.,"analysisWe need to evaluate the generated summary: ""<s>Handle a task completion completion"". The code is a method that handles task completion: logs warnings/errors/info based on task status. The summary is ""Handle a task completion completion"". That is very vague, but it does mention handling a task completion. It doesn't mention logging or the details. But it's not incorrect. It's incomplete but not major errors. According to rubric: 3: Partially correct, but incomplete, vague, or contains some misleading details. The summary is incomplete and vague. So score 3. Provide reason: ""Vague and incomplete description."""
7,7,7,8,_get_mime_type,"def _get_mime_type(self) -> str:
        
        if self._format:
            return f""image/{self._format.lower()}""

        if self.path:
            suffix = self.path.suffix.lower()
            return {
                "".png"": ""image/png"",
                "".jpg"": ""image/jpeg"",
                "".jpeg"": ""image/jpeg"",
                "".gif"": ""image/gif"",
                "".webp"": ""image/webp"",
            }.get(suffix, ""application/octet-stream"")
        return ""image/png""",Get MIME type from format or guess from file extension.,<s>Returns the mime type for the file,5.0,5.0,5.0,0.6891891891891891,0.4285714285714285,0.6,0.6272716522216797,0.51242065,0.7909616,0.8087659,0.7681167125701904,0.0714285714285714,0.5684769679577544,5.0,5.0,5.0,1,Failed to parse model output.,"analysisWe need to evaluate the generated summary: ""Returns the mime type for the file"". The code: function _get_mime_type returns a string mime type based on self._format or self.path suffix. If _format present, returns image/<format>. If path present, uses suffix mapping or default octet-stream. If none, returns image/png. The summary says ""Returns the mime type for the file"". That is accurate but very generic. It doesn't mention the logic of format or suffix mapping. But the rubric: ""Prefer concise but faithful summaries. Penalize hallucinated behavior not supported by the code. Penalize"
8,8,8,9,__init__,"def __init__(self, servers: list[dict[str, Any]], title: Optional[str] = None, **kwargs: Any) -> None:
        
        self._servers = servers
        self._title = title or ""MCP Proxy""
        self._kwargs = kwargs
        self._registered_funcs: list[Callable[..., Any]] = []
        self._globals: dict[str, Any] = {}

        self._security: dict[str, list[BaseSecurity]] = {}
        self._security_params: dict[Optional[str], BaseSecurityParameters] = {}
        self._tags: set[str] = set()

        self._function_group: dict[str, list[str]] = {}",Proxy class to generate client from OpenAPI schema.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,5.0,5.0,4.0,0.5432098765432098,0.1,0.125,0.49542897939682,0.2673516,0.4459738,0.652683,0.5162636637687683,0.3,0.5274969763272273,3.0,4.0,5.0,1,The summary is nonsensical and does not describe the code.,"analysisWe need to evaluate the generated summary. The summary is nonsense: ""<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>"". It's obviously incorrect. So score 1. Reason: summary does not describe code.assistantfinal{""score"": 1, ""reason"": ""The summary is nonsensical and does not describe the code.""}"
9,9,9,10,check_and_install_dependencies,"def check_and_install_dependencies():
    
    required_packages = [
        ""gunicorn"",
        ""tiktoken"",
        ""psutil"",
        # Add other required packages here
    ]

    for package in required_packages:
        if not pm.is_installed(package):
            print(f""Installing {package}..."")
            pm.install(package)
            print(f""{package} installed successfully"")",Check and install required dependencies,<s>Check if the dependencies are installed,5.0,5.0,4.0,0.4794520547945205,0.2222222222222222,0.2,0.629093587398529,0.3499059,0.7228939,0.74307513,0.6212164163589478,0.4444444444444444,0.5033793549581349,5.0,5.0,5.0,2,Parsed score from non-JSON model output.,"analysisWe need to evaluate the generated summary: ""Check if the dependencies are installed"". The code defines a function check_and_install_dependencies that iterates over required_packages, checks if each is installed via pm.is_installed, and if not, prints installing, installs via pm.install, prints installed. So the summary ""Check if the dependencies are installed"" is incomplete: it doesn't mention installation. It's partially correct but missing main behavior. According to rubric: 2: Mentions a small part but misses main behavior or includes major errors. So score 2. Reason: summary only mentions checking, omits installation.assistant"
10,10,10,11,get,"def get(cls, name: str, raise_on_missing: bool = True) -> Optional[T]:
        

        matches = [registered for registered in cls._get_storage() if re.match(registered, name)]

        if len(matches) > 1:
            raise ValueError(f""Multiple taggers match {name}: {', '.join(matches)}"")

        elif len(matches) == 0:
            if raise_on_missing:
                tagger_names = "", "".join([tn for tn, _ in cls.items()])
                raise ValueError(f""Unknown tagger {name}; available taggers: {tagger_names}"")
            return None

        else:
            name = matches[0]
            t, _ = cls._get_storage()[name]
            return t",Get a tagger from the registry; raise ValueError if it doesn't exist.,<s>Return a <UNK> object from the given file,4.0,5.0,4.0,0.782524896105431,0.25,0.1538461538461538,0.6117190718650818,0.2761558,0.6588984,0.5861549,0.7300636172294617,0.5833333333333334,0.5543397337125364,5.0,5.0,4.0,1,Parsed score from non-JSON model output.,"analysisWe need to evaluate the generated summary. The summary is: ""<s>Return a <UNK> object from the given file"". That is extremely vague. The code is a method get that returns an Optional[T] from a registry of taggers. It matches name against regex patterns, ensures unique match, raises errors if multiple or none, returns the tagger instance. The summary says ""Return a <UNK> object from the given file"". That is not accurate. It doesn't mention matching, errors, etc. It's too generic. So score 1 or 2? It's basically incorrect. So score 1. Provide"
11,11,11,12,get_single_param_type_from_schema,"def get_single_param_type_from_schema(param_schema: Dict[str, Any]) -> str:
    
    if ""anyOf"" in param_schema:
        types = {schema.get(""type"") for schema in param_schema[""anyOf""] if schema.get(""type"")}
        if ""null"" in types:
            types.remove(""null"")
        if types:
            return next(iter(types))
        return ""string""
    return param_schema.get(""type"", ""string"")",Get the type of a parameter from the schema.,<s>This is a simple class for the <UNK> class,5.0,5.0,5.0,0.5333333333333333,0.4,0.3333333333333333,0.5704011917114258,0.50727504,0.63853765,0.6835121,0.3767914772033691,0.4,0.5902924854072706,5.0,5.0,5.0,1,Summary is unrelated to the function.,"analysisWe need to evaluate the generated summary. The code is a function get_single_param_type_from_schema that returns a string type based on param_schema dict. The summary says: ""<s>This is a simple class for the <UNK> class"". That is nonsense. It's not describing the function. So it's incorrect. Score 1. Reason: summary is unrelated.assistantfinal{""score"": 1, ""reason"": ""Summary is unrelated to the function.""}"
12,12,12,13,start,"def start(self):
        
        try:
            self.reset_trace()
            self.current_trace[""start_time""] = datetime.now()
            self._active = True
            self._monkey_patch()

            if self.save_interval:
                loop = asyncio.get_event_loop()
                self._save_task = loop.create_task(self._periodic_save())

            logger.info(""Tracing started"")
        except Exception as e:
            logger.error(f""Error starting tracer: {e}"")
            self.on_error(e, context=""start"")
            raise",Start tracing with enhanced error handling and async support,<s>Start a new instance and return the result,5.0,5.0,5.0,0.7088607594936709,0.5,0.6666666666666666,0.5422117710113525,0.494651,0.6526789,0.83310884,0.8661739826202393,0.0833333333333333,0.5721286492942541,5.0,5.0,5.0,1,Parsed score from non-JSON model output.,"analysisWe need to evaluate the generated summary: ""Start a new instance and return the result"". The code is a method start(self) that resets trace, sets start_time, sets _active, monkey patches, creates a periodic save task if save_interval, logs info, handles exceptions. The summary says ""Start a new instance and return the result"". That is inaccurate: it doesn't start a new instance, it starts tracing. It doesn't return anything. So it's incorrect. Score 1. Provide reason.assistantfinal{""score"": 1, ""reason"": ""The summary misstates the method's purpose and"
13,13,13,14,generate_audio_from_phonemes,"def generate_audio_from_phonemes(phonemes: str, voice: str = ""af_bella""):
    
    response = requests.post(
        json={""phonemes"": phonemes, ""voice"": voice},
        headers={""Accept"": ""audio/wav""}
    )
    if response.status_code != 200:
        print(f""Error: {response.text}"")
        return None
    return response.content",Generate audio from phonemes,<s>Another <UNK> <UNK> <UNK> <UNK>,5.0,5.0,3.0,0.3538461538461538,0.1111111111111111,0.25,0.5578997135162354,0.26801553,0.6922981,0.6455563,-0.1810700893402099,0.1111111111111111,0.5513172395343857,4.0,5.0,5.0,1,The summary is nonsensical and does not describe the code.,"analysisWe need to evaluate the generated summary. The summary is nonsense: ""<s>Another <UNK> <UNK> <UNK> <UNK>"". It's obviously incorrect. So score 1. Reason: summary is unrelated.assistantfinal{""score"": 1, ""reason"": ""The summary is nonsensical and does not describe the code.""}"
14,14,14,15,_build_conversation_context,"def _build_conversation_context(self) -> str:
        
        context_parts = []

        # Include recent messages (last 5 for now)
        recent_messages = (
            self.state.messages[-5:]
            if len(self.state.messages) > 5
            else self.state.messages
        )

        for msg in recent_messages:
            if msg.role != ""system"":  # Skip system message in context
                role_label = ""User"" if msg.role == ""user"" else ""Assistant""
                context_parts.append(f""{role_label}: {msg.content}"")

        return (
            ""\n"".join(context_parts)
            if context_parts
            else ""This is the start of our conversation.""
        )",Build context string from conversation history,<s>Build the context for a conversation,5.0,5.0,5.0,0.547945205479452,0.4,0.5,0.5860644578933716,0.63557476,0.7247748,0.81894696,0.8005717992782593,0.4444444444444444,0.6770032146248859,5.0,5.0,5.0,5,Accurately captures the main purpose of building a conversation context.,"analysisWe need to evaluate the generated summary. The summary: ""Build the context for a conversation"". That's very short. The code builds a string context from recent messages, skipping system messages, labeling user/assistant, returns joined string or default message. The summary is accurate but very brief. According to rubric, it's accurate, faithful, useful, concise. It captures main purpose. It's not too generic? It's generic but still describes main behavior. Score 5. Provide JSON.assistantfinal{""score"": 5, ""reason"": ""Accurately captures the main purpose of building a conversation context.""}"
