"Metric","Overall DA Score","Content Adequacy","Conciseness","Fluency"
"Original SIDE-Java: BLEU-1","0.9990 ($p=0.6222$)","0.9672 ($p=0.4200$)","1.0656 ($p=0.1575$)","1.0650 ($p=0.2267$)"
"Original SIDE-Java: BERTScore-R","1.0029 ($p=0.2943$)","1.0525 ($p=0.3929$)","1.0160 ($p=0.8770$)","1.0559 ($p=0.4600$)"
"Original SIDE-Java: SentenceBERT_CS","1.0057 ($p=0.0100$)","1.1121 ($p=0.0225$)","1.0587 ($p=0.2617$)","0.9958 ($p=0.9170$)"
"Original SIDE-Java: InferSent_CS","0.9980 ($p=0.5250$)","1.0000 ($p=1.0000$)","1.0079 ($p=0.8770$)","1.0543 ($p=0.4600$)"
"Original SIDE-Java: ROUGE-1-P","1.0058 ($p=0.0033$)","1.0943 ($p=0.0260$)","1.0075 ($p=0.8770$)","1.0334 ($p=0.4600$)"
"Original SIDE-Java: ROUGE-4-R","1.0024 ($p=0.0467$)","0.9914 ($p=0.7811$)","0.9937 ($p=0.8770$)","1.0304 ($p=0.4600$)"
"Original SIDE-Java: ROUGE-W-R","0.9996 ($p=0.8040$)","1.0437 ($p=0.3700$)","1.0954 ($p=0.0267$)","0.9672 ($p=0.4600$)"
"Original SIDE-Java: c_coeff","1.0143 ($p<0.0001$)","1.3729 ($p<0.0001$)","1.2433 ($p<0.0001$)","1.2080 ($p<0.0001$)"
"Original SIDE-Java: CodeT5-plus_CS","1.0044 ($p=0.0220$)","1.1413 ($p<0.0001$)","1.0630 ($p=0.1700$)","1.0249 ($p=0.5444$)"
"Original SIDE-Java: SIDE-Java","1.0205 ($p<0.0001$)","1.6265 ($p<0.0001$)","1.3844 ($p<0.0001$)","1.2826 ($p<0.0001$)"
"Reproduced SIDE-Java: BLEU-1","0.9990 ($p=0.5604$)","0.9672 ($p=0.3363$)","1.0656 ($p=0.0632$)","1.0650 ($p=0.0681$)"
"Reproduced SIDE-Java: BERTScore-R","1.0029 ($p=0.2064$)","1.0525 ($p=0.2745$)","1.0160 ($p=0.7357$)","1.0559 ($p=0.2445$)"
"Reproduced SIDE-Java: SentenceBERT_CS","1.0057 ($p=0.0039$)","1.1121 ($p=0.0089$)","1.0587 ($p=0.1567$)","0.9958 ($p=0.9169$)"
"Reproduced SIDE-Java: InferSent_CS","0.9980 ($p=0.4200$)","1.0000 ($p=0.9996$)","1.0079 ($p=0.8770$)","1.0543 ($p=0.3043$)"
"Reproduced SIDE-Java: c_coeff","1.0143 ($p<0.0001$)","1.3729 ($p<0.0001$)","1.2433 ($p<0.0001$)","1.1680 ($p<0.0001$)"
"Reproduced SIDE-Java: ROUGE-1-P","1.0058 ($p=0.0011$)","1.0943 ($p=0.0134$)","1.0075 ($p=0.8344$)","1.0334 ($p=0.3679$)"
"Reproduced SIDE-Java: ROUGE-4-R","1.0024 ($p=0.0279$)","0.9914 ($p=0.7029$)","0.9937 ($p=0.7821$)","1.0304 ($p=0.1915$)"
"Reproduced SIDE-Java: ROUGE-W-R","0.9996 ($p=0.8037$)","1.0437 ($p=0.2224$)","1.0954 ($p=0.0084$)","0.9672 ($p=0.3369$)"
"Reproduced SIDE-Java: CodeT5-plus_CS","1.0044 ($p=0.0111$)","1.1413 ($p=0.0002$)","1.0630 ($p=0.0852$)","1.0249 ($p=0.4901$)"
"Reproduced SIDE-Java: SIDE-Java","1.0205 ($p<0.0001$)","1.6265 ($p<0.0001$)","1.3844 ($p<0.0001$)","1.2826 ($p<0.0001$)"
"SIDEpython: no-side: `BLEU-1`","--","0.7897 ($p=0.0650$)","0.8008 ($p=0.2744$)","0.7841 ($p=0.3290$)"
"SIDEpython: no-side: `BERTScore-R`","--","1.8037 ($p=0.0079$)","1.1182 ($p=0.7371$)","1.6723 ($p=0.2033$)"
"SIDEpython: no-side: SentenceBERT_CS","--","1.1046 ($p=0.4457$)","1.2898 ($p=0.1790$)","1.1476 ($p=0.5918$)"
"SIDEpython: no-side: InferSent_CS","--","0.9395 ($p=0.7046$)","0.7969 ($p=0.3880$)","1.7312 ($p=0.0529$)"
"SIDEpython: no-side: `ROUGE-1-P`","--","1.1244 ($p=0.4758$)","1.3658 ($p=0.2621$)","0.7928 ($p=0.4977$)"
"SIDEpython: no-side: `ROUGE-W-R`","--","0.9092 ($p=0.4672$)","0.9940 ($p=0.9779$)","1.1948 ($p=0.5378$)"
"SIDEpython: no-side: c_coeff","--","0.8851 ($p=0.1540$)","0.9475 ($p=0.6763$)","1.0650 ($p=0.7261$)"
"SIDEpython: no-side: `CodeT5-plus_CS`","--","1.2940 ($p=0.0149$)","0.7335 ($p=0.0528$)","0.6160 ($p=0.0269$)"
"SIDEpython: no-side: SIDEpython","--","1.2027 ($p=0.1316$)","1.1034 ($p=0.5498$)","1.0606 ($p=0.7942$)"
"SIDEpython: with-side: `BLEU-1`","--","0.7897 ($p=0.0650$)","0.8008 ($p=0.2744$)","0.7841 ($p=0.3290$)"
