target,raw_predictions,correctly_predicted,SIDE_score,BLEU4,ROUGE_L,METEOR,ChrF,TFIDF_COS
<s>Link a component ID to its producing atom for DAG traceability.,<s>Register a producer for an atom,0,0.8072130680084229,0.021502051848087914,0.4210526315789474,0.1904761904761905,0.1849403887759378,0.1683684216367985
<s>Process data in batches and execute the given query.,"<unk>
    <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>",0,0.0677550286054611,0.0,0.0,0.0,0.02450980392156863,0.0
<s>Filter property by piid.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <,0,0.1266307234764099,0.0,0.06451612903225806,0.0,0.02256673371326263,0.0
<s>Save graph ontology to a separate table with {graph_name}_ontology,"<unk>
    <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>",0,0.152601808309555,0.0,0.0,0.0,0.014172335600907028,0.0
<s>Adds tracing metadata to the control message and marks its completion.,"<unk>
        return function merge(src, dest) {
            if (src is None) {
                dest = src",0,0.5874883532524109,0.0,0.0,0.0,0.13560516065076428,0.0
<s>Filter OpenAPI paths to only include allowed endpoints.,<s>Filters the paths from the openapi schema,0,0.9410602450370787,0.033359167130736105,0.35294117647058826,0.189873417721519,0.3283928525539739,0.1350734836708713
<s>Handle task completion and clean up.,<s><UNK> the task to be executed when the task is completed,0,0.636694073677063,0.021598265052211615,0.3157894736842105,0.15384615384615385,0.27557200523010844,0.1195566314208807
<s>Get MIME type from format or guess from file extension.,<s>Return the mime type of the file from the <UNK> <UNK> <UNK> <UNK>,0,0.7535450458526611,0.05262202728382899,0.32,0.3064320388349515,0.2649073633741072,0.16073880702275972
<s>Proxy class to generate client from OpenAPI schema.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.6015788316726685,0.0,0.08333333333333334,0.0,0.028987728373830186,0.0
<s>Check and install required dependencies,<s>Check if <UNK> is installed and install,0,0.7318121194839478,0.09068059995923879,0.5714285714285715,0.49145299145299143,0.40651171486606,0.34464214103805474
<s>Get a tagger from the registry; raise ValueError if it doesn't exist.,<s>Get a tag from a tag name,0,0.9522992372512816,0.044391931393665936,0.36363636363636365,0.13043478260869565,0.1977424047833403,0.13049436152984825
<s>Get the type of a parameter from the schema.,<s>Get the single param type from the schema,0,0.8567382097244263,0.09399434553122407,0.7368421052631577,0.5011235955056179,0.583316059356536,0.6694188517266486
