target,raw_predictions,correctly_predicted,SIDE_score
<s>Link a component ID to its producing atom for DAG traceability.,<s>Register a producer for an atom,0,0.8072130680084229
<s>Process data in batches and execute the given query.,"<unk>
    <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>",0,0.06775502860546112
<s>Filter property by piid.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <,0,0.1266307234764099
<s>Save graph ontology to a separate table with {graph_name}_ontology,"<unk>
    <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>",0,0.15260180830955505
<s>Adds tracing metadata to the control message and marks its completion.,"<unk>
        return function merge(src, dest) {
            if (src is None) {
                dest = src",0,0.5874883532524109
<s>Filter OpenAPI paths to only include allowed endpoints.,<s>Filters the paths from the openapi schema,0,0.9410602450370789
<s>Handle task completion and clean up.,<s><UNK> the task to be executed when the task is completed,0,0.636694073677063
<s>Get MIME type from format or guess from file extension.,<s>Return the mime type of the file from the <UNK> <UNK> <UNK> <UNK>,0,0.7535450458526611
<s>Proxy class to generate client from OpenAPI schema.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.6015788316726685
<s>Check and install required dependencies,<s>Check if <UNK> is installed and install,0,0.7318121194839478
<s>Get a tagger from the registry; raise ValueError if it doesn't exist.,<s>Get a tag from a tag name,0,0.9522992372512817
<s>Get the type of a parameter from the schema.,<s>Get the single param type from the schema,0,0.8567382097244263
<s>Start tracing with enhanced error handling and async support,<s>Start the tracer for a function call,0,0.9168840050697327
<s>Generate audio from phonemes,<s>Generate a <UNK> audio from a <UNK> <UNK>,0,0.5052902102470398
<s>Build context string from conversation history,<s>Build the context for the conversation text,0,0.7429723143577576
<s>Convert to AWS API parameters.,<s>Convert the <UNK> object to the API parameters,0,0.804600179195404
<s>Not really needed for this tool (use return of execute() directly),"<unk>
    <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>",0,0.2586148977279663
<s>Load the classification model using adaptive-classifier library.,<s>Loads the model from <UNK> model,0,0.6610386371612549
<s>Load the OptiLLM Bench dataset.,"<unk>
    <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>",0,0.5606406927108765
"<s>Initialize the LLM planner with an agent, which will be used as the starting point for the workflow.",<s>Initialize the agent and the context variables,0,0.669826090335846
<s>Automatically discover and import all processors,<s>Discover processors from <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.6773763298988342
<s>Initialize the LinearSource with rate limiting state.,<s>class HTTPError < HTTPError <HTTPError> <HTTPError> <HTTP,0,-0.3247702717781067
<s>init model on this single gpu and let it answer asign chunk of questions,<s>Infer a batch of messages from a single GPU,0,0.8033239841461182
<s>:param video_url: youtube video url :param output_dir: file path to save,<s>Download a video from a <UNK> <UNK>,0,0.6796409487724304
<s>Call callback handler in main loop,<s>Set the state of a device from a device to a device,0,0.71649169921875
<s>Generate audio from phonemes.,<s>Generate audio from <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.12871593236923218
<s>Prepares the user data directory if necessary.,<s>Setup the user data directory,0,0.958903431892395
<s>Validate the in_value based on the type.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.5239042639732361
<s>Convert the prompt to an MCP prompt.,<s>Return a <UNK> prompt to the user,0,0.6940260529518127
<s>Get a value using dictionary syntax: context[key],"<s><div>
<div>
<div>
<div>
<div>
<div>
<div>
<div>",0,0.7902598977088928
"<s>Returns an MSA containing just the query sequence, never errors.",<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <,0,0.3349236845970154
