target,raw_predictions,correctly_predicted,SIDE_score,BLEU4,ROUGE_L,METEOR,ChrF,TFIDF_COS
<s>Link a component ID to its producing atom for DAG traceability.,<s><UNK> a <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.3481679856777191,0.018273910508530698,0.2,0.04716981132075472,0.04554166428887804,0.0
<s>Process data in batches and execute the given query.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.2933845818042755,0.0,0.10000000000000002,0.0,0.039150910986660806,0.0
<s>Filter property by piid.,"<unk>
    public static void main(<unk><unk><unk><unk><unk><unk>",0,-0.4470828175544739,0.0,0.0,0.0,0.07694160035117795,0.0
<s>Save graph ontology to a separate table with {graph_name}_ontology,"<s><UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
<unk><unk><unk><unk><unk><unk><unk><unk>",0,0.1733642816543579,0.0,0.05128205128205128,0.0,0.019145195534834816,0.0
<s>Adds tracing metadata to the control message and marks its completion.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.2844323217868805,0.0,0.10526315789473685,0.0,0.032374810527851586,0.0
<s>Filter OpenAPI paths to only include allowed endpoints.,<s><UNK> to use <UNK> instead of <UNK>,0,-0.2054579108953476,0.028051604056085533,0.23529411764705882,0.06329113924050632,0.09956180986795467,0.052249853500008124
<s>Handle task completion and clean up.,"<s><p>
<b>1</b>
<b>2</b>
<b>3</b>",0,-0.2237691581249237,0.0,0.1111111111111111,0.0,0.035774217885887125,0.0
<s>Get MIME type from format or guess from file extension.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.4635056853294372,0.0,0.1111111111111111,0.0,0.03307992081234921,0.0
<s>Proxy class to generate client from OpenAPI schema.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.4895526766777038,0.0,0.10526315789473685,0.0,0.03208876405337727,0.0
<s>Check and install required dependencies,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.5163459181785583,0.0,0.15384615384615383,0.0,0.054561760782293973,0.0
<s>Get a tagger from the registry; raise ValueError if it doesn't exist.,<s><%= youtubeUrl %>,0,0.1549346148967743,0.0,0.125,0.0,0.0416002998571071,0.0
<s>Get the type of a parameter from the schema.,<s>Get the type of a given object,0,0.8890494108200073,0.46199933699457096,0.6666666666666665,0.5068181818181817,0.41716917407458654,0.49321500174512156
<s>Start tracing with enhanced error handling and async support,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.3378950357437134,0.0,0.11764705882352941,0.0,0.04308815424039017,0.0
<s>Generate audio from phonemes,"<unk>
    public static void main(String[] args) {<unk><unk><unk><unk><unk><unk>",0,0.6097086668014526,0.0,0.0,0.0,0.08712618972168115,0.0
