target,raw_predictions,correctly_predicted,SIDE_score
<s>Link a component ID to its producing atom for DAG traceability.,<s><UNK> a <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.3481679856777191
<s>Process data in batches and execute the given query.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.2933845818042755
<s>Filter property by piid.,"<unk>
    public static void main(<unk><unk><unk><unk><unk><unk>",0,-0.4470828175544739
<s>Save graph ontology to a separate table with {graph_name}_ontology,"<s><UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
 * <UNK>
<unk><unk><unk><unk><unk><unk><unk><unk>",0,0.1733642816543579
<s>Adds tracing metadata to the control message and marks its completion.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.2844323217868805
<s>Filter OpenAPI paths to only include allowed endpoints.,<s><UNK> to use <UNK> instead of <UNK>,0,-0.2054579108953476
<s>Handle task completion and clean up.,"<s><p>
<b>1</b>
<b>2</b>
<b>3</b>",0,-0.2237691581249237
<s>Get MIME type from format or guess from file extension.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.46350568532943726
<s>Proxy class to generate client from OpenAPI schema.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.48955267667770386
<s>Check and install required dependencies,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.5163459181785583
<s>Get a tagger from the registry; raise ValueError if it doesn't exist.,<s><%= youtubeUrl %>,0,0.1549346148967743
<s>Get the type of a parameter from the schema.,<s>Get the type of a given object,0,0.8890494108200073
<s>Start tracing with enhanced error handling and async support,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.3378950357437134
<s>Generate audio from phonemes,"<unk>
    public static void main(String[] args) {<unk><unk><unk><unk><unk><unk>",0,0.6097086668014526
<s>Build context string from conversation history,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.09249012172222137
<s>Convert to AWS API parameters.,<s>Convert a JSON object to a string,0,0.5450776815414429
<s>Not really needed for this tool (use return of execute() directly),<s>Return a string with the result of the operation,0,0.5405868291854858
<s>Load the classification model using adaptive-classifier library.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.08587523549795151
<s>Load the OptiLLM Bench dataset.,"<unk>
 * @param {string} str
 * @return {boolean}
 */
function isAlpha(str) {
  return str.length <<unk><unk><unk><unk><unk><unk><unk>",0,-0.08904477953910828
"<s>Initialize the LLM planner with an agent, which will be used as the starting point for the workflow.",<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.12132355570793152
