"Condition","Target","Metric","OR","Value","Std. Error","t value","p value"
"no-side","Content Adequacy","`BLEU-1`",0.789667617558953,-0.236143159322977,0.127953807724404,-1.84553444342664,0.0649598328821643
"no-side","Content Adequacy","`BERTScore-R`",1.8037141184571,0.589847938160806,0.222030812470318,2.65660397130537,0.00789321072136613
"no-side","Content Adequacy","SentenceBERT_CS",1.10462801746262,0.0995086425147405,0.13048282042462,0.762618727821162,0.445690812347581
"no-side","Content Adequacy","InferSent_CS",0.939505385926528,-0.062401727386637,0.164594691066612,-0.379123573076745,0.704596101920534
"no-side","Content Adequacy","`ROUGE-1-P`",1.12438889184795,0.117239680819614,0.164415025265502,0.713071573782827,0.475801468528863
"no-side","Content Adequacy","`ROUGE-W-R`",0.90917721252869,-0.0952152505286916,0.130955959400569,-0.727078408378857,0.467177924754929
"no-side","Content Adequacy","c_coeff",0.885145036270918,-0.122003764609527,0.0855815366091335,-1.42558511383993,0.153988135699103
"no-side","Content Adequacy","`CodeT5-plus_CS`",1.29402322193926,0.257756141774918,0.105849448610711,2.43512030679426,0.0148868391705289
"no-side","Content Adequacy","SIDEpython",1.20267868762169,0.18455130873317,0.12240096175131,1.50776028302894,0.13161589058607
"no-side","Conciseness","`BLEU-1`",0.800839472956672,-0.222094760291996,0.203205854889462,-1.09295453328748,0.274413762925862
"no-side","Conciseness","`BERTScore-R`",1.11817617690598,0.111698944523842,0.332749469204413,0.335684816540529,0.737108556748129
"no-side","Conciseness","SentenceBERT_CS",1.28982464694995,0.254506276536973,0.189377854095082,1.34390727866835,0.178978372030614
"no-side","Conciseness","InferSent_CS",0.796867786096586,-0.227066503417861,0.263024202512878,-0.863291291251966,0.387977331168922
"no-side","Conciseness","`ROUGE-1-P`",1.36577925838963,0.311725151011047,0.277941664689093,1.12154883781007,0.262054315383782
"no-side","Conciseness","`ROUGE-W-R`",0.994024591207605,-0.0059933329861056,0.216813327278223,-0.0276428255649374,0.977947024841764
"no-side","Conciseness","c_coeff",0.947460250818909,-0.0539702945478631,0.129245573843882,-0.417579441544781,0.676254630421205
"no-side","Conciseness","`CodeT5-plus_CS`",0.73352233219045,-0.309897235795156,0.16000545882665,-1.93679164490818,0.05277081765715
"no-side","Conciseness","SIDEpython",1.10344874594175,0.0984404988228712,0.164606576885086,0.59803502803897,0.549816560934034
"no-side","Fluency","`BLEU-1`",0.784085763944437,-0.243236871828412,0.249162990679839,-0.97621589452247,0.328957488254407
"no-side","Fluency","`BERTScore-R`",1.67231297090007,0.514207680698528,0.404153985749507,1.27230634567398,0.203264294831675
"no-side","Fluency","SentenceBERT_CS",1.14755989759313,0.137637859928515,0.256643643426487,0.536299508886686,0.591751569975936
"no-side","Fluency","InferSent_CS",1.73124709092336,0.548842010619022,0.283476078384107,1.93611402326283,0.0528537373843479
"no-side","Fluency","`ROUGE-1-P`",0.792758255648999,-0.232236951680347,0.342452022063301,-0.678159090085381,0.497670828181855
"no-side","Fluency","`ROUGE-W-R`",1.19477972557006,0.177961838325701,0.288809075675043,0.616191987421948,0.537767816084507
"no-side","Fluency","c_coeff",1.06501334429703,0.0629873289392542,0.179797113489781,0.350324472494015,0.726095201137244
"no-side","Fluency","`CodeT5-plus_CS`",0.616022896106438,-0.48447114713541,0.218891612549568,-2.21329242126946,0.026877491784311
"no-side","Fluency","SIDEpython",1.06062980419004,0.0588628865801048,0.225661611203723,0.260845813632716,0.794211412904571
"with-side","Content Adequacy","`BLEU-1`",0.789667617558953,-0.236143159322977,0.127953807724404,-1.84553444342664,0.0649598328821643
"with-side","Content Adequacy","`BERTScore-R`",1.8037141184571,0.589847938160806,0.222030812470318,2.65660397130537,0.00789321072136613
"with-side","Content Adequacy","SentenceBERT_CS",1.10462801746262,0.0995086425147405,0.13048282042462,0.762618727821162,0.445690812347581
"with-side","Content Adequacy","InferSent_CS",0.939505385926528,-0.062401727386637,0.164594691066612,-0.379123573076745,0.704596101920534
"with-side","Content Adequacy","`ROUGE-1-P`",1.12438889184795,0.117239680819614,0.164415025265502,0.713071573782827,0.475801468528863
"with-side","Content Adequacy","`ROUGE-W-R`",0.90917721252869,-0.0952152505286916,0.130955959400569,-0.727078408378857,0.467177924754929
"with-side","Content Adequacy","c_coeff",0.885145036270918,-0.122003764609527,0.0855815366091335,-1.42558511383993,0.153988135699103
"with-side","Content Adequacy","`CodeT5-plus_CS`",1.29402322193926,0.257756141774918,0.105849448610711,2.43512030679426,0.0148868391705289
"with-side","Content Adequacy","SIDEpython",1.20267868762169,0.18455130873317,0.12240096175131,1.50776028302894,0.13161589058607
"with-side","Conciseness","`BLEU-1`",0.800839472956672,-0.222094760291996,0.203205854889462,-1.09295453328748,0.274413762925862
"with-side","Conciseness","`BERTScore-R`",1.11817617690598,0.111698944523842,0.332749469204413,0.335684816540529,0.737108556748129
"with-side","Conciseness","SentenceBERT_CS",1.28982464694995,0.254506276536973,0.189377854095082,1.34390727866835,0.178978372030614
"with-side","Conciseness","InferSent_CS",0.796867786096586,-0.227066503417861,0.263024202512878,-0.863291291251966,0.387977331168922
"with-side","Conciseness","`ROUGE-1-P`",1.36577925838963,0.311725151011047,0.277941664689093,1.12154883781007,0.262054315383782
"with-side","Conciseness","`ROUGE-W-R`",0.994024591207605,-0.0059933329861056,0.216813327278223,-0.0276428255649374,0.977947024841764
