target,raw_predictions,correctly_predicted,SIDE_score
<s>Link a component ID to its producing atom for DAG traceability.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.32329797744750977
<s>Process data in batches and execute the given query.,"<s>
 * <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>",0,0.33745378255844116
<s>Filter property by piid.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,1.817941665649414e-05
<s>Save graph ontology to a separate table with {graph_name}_ontology,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.22844776511192322
<s>Adds tracing metadata to the control message and marks its completion.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.2844323217868805
<s>Filter OpenAPI paths to only include allowed endpoints.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.4784688949584961
<s>Handle task completion and clean up.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.03920339047908783
<s>Get MIME type from format or guess from file extension.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.4864097833633423
<s>Proxy class to generate client from OpenAPI schema.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.5581291317939758
<s>Check and install required dependencies,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.5163459181785583
<s>Get a tagger from the registry; raise ValueError if it doesn't exist.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.6832116842269897
<s>Get the type of a parameter from the schema.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.3902803957462311
<s>Start tracing with enhanced error handling and async support,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.3378950357437134
<s>Generate audio from phonemes,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.4238269031047821
<s>Build context string from conversation history,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.09249012172222137
<s>Convert to AWS API parameters.,<s>Convert this object to a dictionary,0,0.5343748331069946
<s>Not really needed for this tool (use return of execute() directly),"<unk>

    public static void main(String args[]) {<unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk>",0,0.7840449810028076
<s>Load the classification model using adaptive-classifier library.,<s>Load the model and return it,0,0.9282533526420593
<s>Load the OptiLLM Bench dataset.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.0032628439366817474
"<s>Initialize the LLM planner with an agent, which will be used as the starting point for the workflow.",<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.12132355570793152
<s>Automatically discover and import all processors,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.3662284016609192
<s>Initialize the LinearSource with rate limiting state.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.18620169162750244
<s>init model on this single gpu and let it answer asign chunk of questions,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.3646330237388611
<s>:param video_url: youtube video url :param output_dir: file path to save,<s>Download a video and store the result in the,0,0.9404659271240234
<s>Call callback handler in main loop,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.08126218616962433
<s>Generate audio from phonemes.,<s>Generate a new audio file,0,0.6242910027503967
<s>Prepares the user data directory if necessary.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.7716101408004761
<s>Validate the in_value based on the type.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.24638527631759644
<s>Convert the prompt to an MCP prompt.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.148252934217453
<s>Get a value using dictionary syntax: context[key],"<unk>


function init() {<unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk><unk>",0,-0.7976423501968384
"<s>Returns an MSA containing just the query sequence, never errors.",<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.43156442046165466
<s>Feedback of web search to agent.,"<unk>


class CBaseApp : public CApp",0,0.15595385432243347
<s>Map entity network using notes and basic info,<s>Map the <UNK> to the <UNK>,0,0.006443990394473076
<s>Initialize the KV cache in all workers.,<s>Initialize the cache,0,0.8651735782623291
