target,raw_predictions,correctly_predicted,SIDE_score,BLEU4,ROUGE_L,METEOR,ChrF,TFIDF_COS
<s>Link a component ID to its producing atom for DAG traceability.,<s><UNK> to get the <UNK> to <UNK>,0,-0.2239154428243637,0.018273910508530698,0.2,0.04716981132075472,0.07653034577114122,0.09099068136214802
<s>Process data in batches and execute the given query.,<s><UNK> to <UNK> to <UNK>,0,0.3275679051876068,0.0,0.125,0.0,0.055948766350863356,0.0
<s>Filter property by piid.,<s><UNK> of the <UNK> of the <UNK>,0,0.2215799242258072,0.0,0.15384615384615385,0.0,0.08179965161005748,0.0
<s>Save graph ontology to a separate table with {graph_name}_ontology,<s><UNK> to send the <UNK> to the <UNK>,0,0.3853920698165893,0.02523907356031767,0.1904761904761905,0.05617977528089887,0.07593139777362917,0.08672059508662149
<s>Adds tracing metadata to the control message and marks its completion.,<s><UNK> C <UNK>,0,0.1045198738574981,0.0,0.125,0.0,0.03157322965750399,0.0
<s>Filter OpenAPI paths to only include allowed endpoints.,<s><UNK> to <UNK> to <UNK> to <UNK>,0,-0.2820669114589691,0.028051604056085533,0.23529411764705882,0.06329113924050632,0.0647739073774483,0.12226394591039176
<s>Handle task completion and clean up.,<s><UNK> to <UNK> to <UNK>,0,-0.1576565951108932,0.0,0.15384615384615383,0.0,0.07981597413256422,0.0
<s>Get MIME type from format or guess from file extension.,<s><UNK> of <UNK>,0,-0.4989458918571472,0.0,0.13333333333333333,0.0,0.04383515417569108,0.0
<s>Proxy class to generate client from OpenAPI schema.,<s><UNK> <UNK> <UNK>,0,-0.688017725944519,0.0,0.15384615384615383,0.0,0.03681729555178324,0.0
<s>Check and install required dependencies,<s><UNK> of the <UNK>,0,-0.4891946017742157,0.0,0.1818181818181818,0.0,0.06938190963257826,0.0
<s>Get a tagger from the registry; raise ValueError if it doesn't exist.,<s><UNK> to the <UNK>,0,-0.6567279696464539,0.008259948157763467,0.21052631578947364,0.04464285714285714,0.05139340889279294,0.06655924660794856
<s>Get the type of a parameter from the schema.,<s><UNK> to <UNK>,0,-0.35710409283638,0.0,0.14285714285714288,0.0,0.039585793791884136,0.0
<s>Start tracing with enhanced error handling and async support,<s><UNK> to <UNK> to <UNK>,0,0.2506054639816284,0.0,0.125,0.0,0.04850426899267726,0.0
<s>Generate audio from phonemes,<s><UNK> to implement the <UNK> to implement the,0,0.3444966971874237,0.0,0.14285714285714285,0.0,0.14892626797150094,0.0
<s>Build context string from conversation history,<s><UNK> to <UNK> to <UNK>,0,-0.1599297374486923,0.0,0.15384615384615383,0.0,0.06368360932015234,0.0
<s>Convert to AWS API parameters.,<s>Convert the <UNK> object to a JSON string,0,0.4795498251914978,0.03401086821506398,0.4,0.18867924528301888,0.3778876521507096,0.20613696606828608
<s>Not really needed for this tool (use return of execute() directly),<s><UNK> to implement the <UNK> to implement the <UNK>,0,0.4953619241714477,0.0,0.0909090909090909,0.0,0.09783980617664961,0.0
<s>Load the classification model using adaptive-classifier library.,<s><UNK> to load the <UNK> model,0,0.8951042890548706,0.03784310341709043,0.5,0.14492753623188406,0.16743388498105763,0.23297965480487529
<s>Load the OptiLLM Bench dataset.,<s><UNK> to <UNK> to <UNK> to <UNK>,0,0.1102826297283172,0.0,0.14285714285714288,0.0,0.06790485478022237,0.0
"<s>Initialize the LLM planner with an agent, which will be used as the starting point for the workflow.",<s><UNK> to implement the <UNK> to <UNK>,0,0.3249968290328979,0.006722595985895218,0.14814814814814814,0.029585798816568046,0.07987172850010694,0.0901698696281151
<s>Automatically discover and import all processors,<s><UNK> to <UNK> to send to <UNK>,0,-0.08357734978199,0.0,0.13333333333333333,0.0,0.07526052373466752,0.0
<s>Initialize the LinearSource with rate limiting state.,<s><UNK> TO <UNK> TO <UNK>,0,-0.3250186443328857,0.0,0.14285714285714288,0.0,0.0491500406487812,0.0
<s>init model on this single gpu and let it answer asign chunk of questions,<s><UNK> to get the answer from the <UNK>,0,0.3033239245414734,0.013509502568391512,0.16666666666666669,0.07462686567164178,0.15318994547503095,0.04060932576976731
<s>:param video_url: youtube video url :param output_dir: file path to save,<s>Download the video from <UNK>,0,0.9693366289138794,0.013749423344020831,0.2,0.04807692307692308,0.12075725582883604,0.06743557494279505
<s>Call callback handler in main loop,<s><UNK> of the <UNK> of the <UNK>,0,-0.3329503238201141,0.0,0.13333333333333333,0.0,0.07550606373654246,0.0
<s>Generate audio from phonemes.,<s>Generate a new audio track,0,0.5570733547210693,0.05428693985879238,0.5454545454545454,0.24390243902439024,0.4780602308824472,0.3360969272762575
<s>Prepares the user data directory if necessary.,<s><UNK> of the <UNK>,0,-0.7632704973220825,0.028830051881449627,0.3076923076923077,0.07462686567164178,0.0711406285202794,0.0845798608014702
<s>Validate the in_value based on the type.,<s><UNK> a <UNK> object,0,-0.2760809361934662,0.0,0.14285714285714285,0.0,0.0700642927270988,0.0
<s>Convert the prompt to an MCP prompt.,<s><UNK> to <UNK> to <UNK>,0,-0.1278480291366577,0.030599904395288136,0.28571428571428575,0.07352941176470587,0.07126777237618673,0.10455194527450763
<s>Get a value using dictionary syntax: context[key],<s><UNK> to <UNK>,0,-0.396641194820404,0.0,0.15384615384615383,0.0,0.05487966005360111,0.0
"<s>Returns an MSA containing just the query sequence, never errors.",<s><UNK> to get the <UNK> to the <UNK>,0,0.2657758593559265,0.0222734042410851,0.19999999999999998,0.05102040816326531,0.09599451098625793,0.08203264007347356
<s>Feedback of web search to agent.,<s><UNK> of the <UNK> of the <UNK>,0,-0.4662938416004181,0.03235934848975789,0.26666666666666666,0.0819672131147541,0.10235002597788657,0.1113153976723386
<s>Map entity network using notes and basic info,<s>Maps the <UNK> <UNK> to the <UNK>,0,-0.0603836253285408,0.0,0.23529411764705882,0.06329113924050632,0.150370700643257,0.0
<s>Initialize the KV cache in all workers.,<s>Initializes the cache for the given <UNK>,0,0.8613698482513428,0.03848196746087264,0.5,0.2142857142857143,0.44869615467078217,0.24235771956792362
<s>Build service characteristics for Amazon Keyspaces.,<s><UNK> a <UNK> object,0,-0.6063110828399658,0.0,0.16666666666666666,0.0,0.07009086491552602,0.0
<s>Returns a string with the object's config and run time state,<s><UNK> to <UNK> to get the <UNK>,0,0.0766169428825378,0.018273910508530698,0.1904761904761905,0.04716981132075472,0.09102412806192316,0.043109987479869535
<s>Return consistent browser options dictionary for both sync and async methods,<s><UNK> a new <UNK> object,0,-0.3448507785797119,0.0,0.1111111111111111,0.0,0.05602854191576092,0.0
<s>Dimensions must be a multiple of 64 otherwise a GGML_ASSERT error is encountered.,<s><UNK> TA <UNK> TA <UNK>,0,0.6928251385688782,0.0,0.09523809523809522,0.0,0.04592182914904356,0.0
<s>Fixture for a CodeExecutorContext with some pre-populated data.,<s><UNK> to get the <UNK> to <UNK>,0,-0.0063492134213447,0.0,0.11111111111111112,0.0,0.06665663831379207,0.0
<s>Format a comment body with code snippet and suggestion if provided.,<s><UNK> to <UNK> to <UNK>,0,-0.2124453037977218,0.0,0.1111111111111111,0.0,0.04478036232544268,0.0
<s>Save credentials to file.,<s>Save the current state of the camera,0,0.3775249123573303,0.03235934848975789,0.3076923076923077,0.11627906976744187,0.30364423900952414,0.09269789668627057
<s>Extracts JSON from markdown-formatted response.,<s><UNK> to implement the <UNK> method,0,-0.6714833974838257,0.0,0.14285714285714285,0.0,0.10030387151461775,0.0
"<s>Retrieves the first head_bytes bytes (1 MB by default) from the S3 object using a range request, and extracts the first response record's target URI from the HTTP headers.",<s><UNK> to implement the <UNK> s <UNK>,0,-0.9383334517478944,0.0013966071289685793,0.15,0.01865671641791045,0.04196935203904796,0.10076277145678493
<s>Get the weather for a given city.,<s><UNK> of the <UNK> of the <UNK>,0,0.3268972933292389,0.03235934848975789,0.25,0.07142857142857142,0.1206486091405614,0.1113153976723386
<s>Simulate benchmark evaluation with predefined scores.,<s><UNK> to implement the <UNK> to implement the <UNK>,0,0.8462583422660828,0.0,0.11764705882352941,0.0,0.11714571047951104,0.0
<s>Adjust the log level to above level,<s><UNK> <UNK> D <UNK>,0,-0.0500637963414192,0.0,0.15384615384615385,0.0,0.04616589659675686,0.0
