target,raw_predictions,correctly_predicted,SIDE_score
<s>Link a component ID to its producing atom for DAG traceability.,<s><UNK> to get the <UNK> to <UNK>,0,-0.2239154428243637
<s>Process data in batches and execute the given query.,<s><UNK> to <UNK> to <UNK>,0,0.3275679051876068
<s>Filter property by piid.,<s><UNK> of the <UNK> of the <UNK>,0,0.2215799242258072
<s>Save graph ontology to a separate table with {graph_name}_ontology,<s><UNK> to send the <UNK> to the <UNK>,0,0.38539206981658936
<s>Adds tracing metadata to the control message and marks its completion.,<s><UNK> C <UNK>,0,0.10451987385749817
<s>Filter OpenAPI paths to only include allowed endpoints.,<s><UNK> to <UNK> to <UNK> to <UNK>,0,-0.2820669114589691
<s>Handle task completion and clean up.,<s><UNK> to <UNK> to <UNK>,0,-0.15765659511089325
<s>Get MIME type from format or guess from file extension.,<s><UNK> of <UNK>,0,-0.4989458918571472
<s>Proxy class to generate client from OpenAPI schema.,<s><UNK> <UNK> <UNK>,0,-0.688017725944519
<s>Check and install required dependencies,<s><UNK> of the <UNK>,0,-0.4891946017742157
<s>Get a tagger from the registry; raise ValueError if it doesn't exist.,<s><UNK> to the <UNK>,0,-0.6567279696464539
<s>Get the type of a parameter from the schema.,<s><UNK> to <UNK>,0,-0.35710409283638
<s>Start tracing with enhanced error handling and async support,<s><UNK> to <UNK> to <UNK>,0,0.2506054639816284
<s>Generate audio from phonemes,<s><UNK> to implement the <UNK> to implement the,0,0.3444966971874237
<s>Build context string from conversation history,<s><UNK> to <UNK> to <UNK>,0,-0.15992973744869232
<s>Convert to AWS API parameters.,<s>Convert the <UNK> object to a JSON string,0,0.4795498251914978
<s>Not really needed for this tool (use return of execute() directly),<s><UNK> to implement the <UNK> to implement the <UNK>,0,0.49536192417144775
<s>Load the classification model using adaptive-classifier library.,<s><UNK> to load the <UNK> model,0,0.8951042890548706
<s>Load the OptiLLM Bench dataset.,<s><UNK> to <UNK> to <UNK> to <UNK>,0,0.11028262972831726
"<s>Initialize the LLM planner with an agent, which will be used as the starting point for the workflow.",<s><UNK> to implement the <UNK> to <UNK>,0,0.32499682903289795
<s>Automatically discover and import all processors,<s><UNK> to <UNK> to send to <UNK>,0,-0.08357734978199005
<s>Initialize the LinearSource with rate limiting state.,<s><UNK> TO <UNK> TO <UNK>,0,-0.32501864433288574
<s>init model on this single gpu and let it answer asign chunk of questions,<s><UNK> to get the answer from the <UNK>,0,0.3033239245414734
<s>:param video_url: youtube video url :param output_dir: file path to save,<s>Download the video from <UNK>,0,0.9693366289138794
<s>Call callback handler in main loop,<s><UNK> of the <UNK> of the <UNK>,0,-0.33295032382011414
<s>Generate audio from phonemes.,<s>Generate a new audio track,0,0.5570733547210693
<s>Prepares the user data directory if necessary.,<s><UNK> of the <UNK>,0,-0.7632704973220825
<s>Validate the in_value based on the type.,<s><UNK> a <UNK> object,0,-0.2760809361934662
<s>Convert the prompt to an MCP prompt.,<s><UNK> to <UNK> to <UNK>,0,-0.12784802913665771
<s>Get a value using dictionary syntax: context[key],<s><UNK> to <UNK>,0,-0.39664119482040405
"<s>Returns an MSA containing just the query sequence, never errors.",<s><UNK> to get the <UNK> to the <UNK>,0,0.2657758593559265
<s>Feedback of web search to agent.,<s><UNK> of the <UNK> of the <UNK>,0,-0.4662938416004181
<s>Map entity network using notes and basic info,<s>Maps the <UNK> <UNK> to the <UNK>,0,-0.0603836253285408
<s>Initialize the KV cache in all workers.,<s>Initializes the cache for the given <UNK>,0,0.8613698482513428
<s>Build service characteristics for Amazon Keyspaces.,<s><UNK> a <UNK> object,0,-0.6063110828399658
<s>Returns a string with the object's config and run time state,<s><UNK> to <UNK> to get the <UNK>,0,0.07661694288253784
<s>Return consistent browser options dictionary for both sync and async methods,<s><UNK> a new <UNK> object,0,-0.3448507785797119
