"Metric","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Proportion of Variance",0.55354,0.1613,0.08394,0.06976,0.04125,0.02905,0.0249,0.0184,0.00986,0.00799
"Cumulative Proportion",0.55354,0.71484,0.79879,0.86855,0.9098,0.93886,0.96375,0.98215,0.99201,1
"BLEU-1",0.256907581832954,0.24039245636638,-0.435537905656602,0.105235204595018,-0.497777342600467,-0.132088031483364,0.435463959419197,-0.452717870794641,0.0897252047298558,-0.0870618863094677
"BERTScore-R",0.473145895239429,0.151154074825117,-0.239126455923336,0.245089916096216,-0.181342859968678,0.180809861662153,-0.739013314906813,0.0695350521321582,-0.102365028410549,-0.094884337618808
"SentenceBERT_CS",0.376209629775161,-0.099817065405726,0.0427528204531004,0.172386582671809,0.218459705080366,0.682408246064607,0.373125910103441,0.176629587786254,0.316781648301173,-0.181054424312199
"InferSent_CS",0.23058346526232,-0.00883115121047116,-0.0114122767251539,0.0560629659647365,0.0874842078347392,0.212949096663857,0.168692124232341,-0.0970660861258105,-0.541951149548452,0.747588970867004
"c_coeff",0.127277703885381,-0.466134292692897,0.529893471305376,0.393063749587759,-0.544423022386782,-0.131884901396877,0.0653944450764109,0.0963641250231315,-0.0612225581523645,-0.0115009091397272
"ROUGE-1-P",0.439649756309288,0.0706719848528168,-0.100662989660547,0.21306068303672,0.328036149044805,-0.627055519201617,0.171715285279609,0.428334439896386,0.143465191451726,0.108814237078753
"ROUGE-4-R",0.414195156657211,0.256473399426758,0.382937781771554,-0.728424402741998,-0.25301099680917,-0.0110380965249786,0.0155957153191387,0.136041903078079,0.0473773894613587,0.0169901597160669
"ROUGE-W-R",0.304209887485448,-0.0352792815140215,0.361320781256243,0.0583601566239615,0.440451633127967,-0.151315129853291,-0.0482858499307176,-0.644647027764187,-0.194713945295165,-0.315506510161674
"CodeT5-plus_CS",-0.00256301280790483,-0.0216492787876093,-0.167022648573627,-0.0793613173358673,-0.0268533828362945,0.0177540554446269,0.231779189876618,0.335544051556035,-0.720044190890031,-0.528695190997635
"SIDE-Java (old)",0.20452,-0.78712,-0.3939,-0.39471,0.03488,0.07005,0.08057,0.10084,-0.06676,0.02056
"SIDE-Java (new)",0.204523010003462,-0.78711806290477,-0.393899075735534,-0.394710136337048,0.0348841336656819,-0.0700474684611829,-0.0805702657538247,-0.100837157363003,0.0667599449770162,0.0205615888052125
